movieId,clean_title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Toy Story,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,Father of the Bride Part II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,Dracula: Dead and Loving It,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Balto,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Casino,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Sense and Sensibility,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,Four Rooms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ace Ventura: When Nature Calls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Money Train,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,Get Shorty,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Copycat,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23,Assassins,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,Leaving Las Vegas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,Othello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Now and Then,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Persuasion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,"City of Lost Children, The (Cité des enfants perdus, La)",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Dangerous Minds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Twelve Monkeys (a.k.a. 12 Monkeys),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
34,Babe,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Dead Man Walking,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,It Takes Two,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Clueless,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,"Cry, the Beloved Country",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Richard III,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
